Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
690,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2910590586199655
695,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2824633573117524
700,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2712600784704249
705,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.272243763716571
710,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.26757142403617407
715,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2906526053721219
720,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27372084054819024
725,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.285730194849267
730,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2848471784256422
735,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2971075804642668
740,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2915596671398275
745,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3057921022756378
750,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3035625026460057
755,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31005946292858755
760,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3006607524516539
765,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29789722697840904
770,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2980418284703086
775,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28788621800226744
780,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29381141996957516
785,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29327474638767437
790,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2788724118646293
795,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28716822108818185
800,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2880989590772257
805,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.284161145999275
810,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2857973557651621
815,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29178414947135745
820,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2767627408173595
825,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2904346571578925
830,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.286157193663674
835,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2774404479574455
840,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2884650800898819
845,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2838365452297955
850,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28253648304482515
855,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28990145337765905
860,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28943705881729287
865,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28146252730655474
870,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28529284997675197
875,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2763163844188189
880,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2824443479305242
885,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28751976183914096
890,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28712870144048896
895,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28205394233505365
900,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28777727940949327
905,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2886752231327788
910,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28788548472789377
915,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29918167693255515
920,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28765562412101753
925,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29566088271810576
930,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29168175000428553
935,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29169598155941046
940,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2911352668272317
945,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2908036611782643
950,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2990284863275009
955,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2996226454662182
960,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30076316014530957
965,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3057467624890853
970,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2966400101333496
975,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29114671625964983
980,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29818794510936975
985,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29082179940899977
990,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27712733811153933
995,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28876042542459
1000,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2885175941407714
1005,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2842330822622886
1010,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27671145634557637
1015,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2924726784082491
1020,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28201720715682166
1025,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28496021332049526
1030,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28427358901609545
1035,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2933280746673561
1040,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.290822501377204
1045,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29982693600409727
1050,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30458852071844844
1055,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3068972825573789
1060,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.30712789755815195
1065,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3053046305526952
1070,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3102710706390954
1075,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3208806064143783
1080,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.3169858651742158
1085,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31095394335018056
1090,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.31595168678548236
1095,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.32346165439966335
1100,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29359225800082744
