Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
1010,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.47248174621352
1015,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.98531438142752
1020,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.31489496620902
1025,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.72879681723822
1030,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.31895558415333
1035,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.32255862558498
1040,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.82578440666758
1045,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.2515139017454
1050,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.21834160800307
1055,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.93857142304131
1060,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.270904364526416
1065,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.98023318339109
1070,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.97592635430773
1075,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.488214311075716
1080,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.29380220833066
1085,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.10260117429529
1090,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.06543093454357
1095,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.02391753119049
1100,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.16451551748253
1105,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.879494528335
1110,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.27590133592146
1115,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.9208362550611
1120,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.78597016568827
1125,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.35412433433746
1130,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.73213280364625
1135,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.71008987087421
1140,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.07641085830198
1145,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.03294180285583
1150,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.38381123169714
1155,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.72844609721577
1160,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.60637605203199
1165,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.71692643859926
1170,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.88101112126908
1175,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.23458870013259
1180,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.59504708920119
1185,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.57711537842033
1190,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.1316435986342
1195,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.11005991225841
1200,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.80448410529047
