Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
1210,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3638997695425825
1215,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36090786861746316
1220,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36121481543943346
1225,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.360765902074483
1230,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35992835449528104
1235,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3572712038963558
1240,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35806908456771436
1245,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35823002680421323
1250,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.356512212545945
1255,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3544554123120357
1260,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3558046551586549
1265,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3558647337033696
1270,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3570198039322344
1275,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35521176590883285
1280,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35658638209370086
1285,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3558520404503349
1290,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3575018812846068
1295,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35635608909901395
1300,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3554677578492337
1305,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35591511787874075
1310,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3571373752035726
1315,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35706662877471373
1320,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3566608455516582
1325,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3564594921640478
1330,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3564983482044033
1335,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35440116159877344
1340,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35291099832068207
1345,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35299352219320745
1350,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3521404135446998
1355,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3543635701542909
1360,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3550151709105457
1365,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35430185210692644
1370,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3540407524339779
